,label,PCA_feature_110,PCA_feature_124,PCA_feature_114,PCA_feature_18,PCA_feature_37,PCA_feature_44,PCA_feature_109,PCA_feature_86,PCA_feature_112
1,1.0,0.04226239089836448,-0.025485784054757488,0.1284272839353719,0.4403746652001844,0.08514024214391144,-0.4230782343371899,-0.018230316436545324,-0.11532278639752847,0.01736217738890755
2,1.0,0.00818023548383462,-0.0027394974476784295,0.009089204769243298,-2.587914615350983,0.030307935474912506,-0.3609697473128748,-0.0059119732142802195,0.008920837058808861,-0.0005789371293843937
2,0.0,0.0084220417626934,0.009122865308722639,-0.04438008662329716,-3.9404674357823883,-1.812374661830045,-1.8192699890539683,-0.008750243480231748,0.19069522203073153,-0.024446800842526158
3,0.0,0.6345490556559028,-0.23782055344313902,0.06259123555546817,-0.8431299840489928,-2.102239687051916,-0.5102857916358383,0.0023348664193370977,1.057575701463661,-0.12389868137229013
4,0.0,-0.046924207925141494,0.011857536492165251,-0.0947237417344794,-0.9530845011430924,-1.922740180842276,-2.3494473190833527,0.16162265086902133,0.1429571991150996,-0.10164871987936797
5,0.0,-0.03838634472281675,-0.002518789328636778,0.05190504250613459,-0.014184579950459186,-4.507630963195201,3.8792809363164915,0.01735509913115211,-0.10552344788191753,0.09222414585214445
5,1.0,-0.7512529314747729,0.7277241658000297,-0.2964501907656391,-0.7131334412363921,1.1052218499431443,0.3937978521238673,-0.43484662851170763,-0.4744488475111289,0.00928333115617247
7,0.0,-0.22207297551079502,0.1658299215964103,0.025119273251128837,0.9455827158167618,0.5451360699292491,-1.982177010388476,0.007791140664749316,0.4891012369923782,0.45781590259417937
7,1.0,0.09578620562372892,-0.22052390078507117,-0.1438337129899872,-1.3225775645988262,-0.23222881697525272,-1.6249031107953957,0.17810466255150464,0.09642605386420439,0.062159219898802076
8,1.0,0.07270843851904737,0.1093192254600823,-0.14194072290353443,-1.0231304787434274,0.9597951056034268,-1.6382644309642447,0.3582924730346329,0.4995444345304699,-0.3527027120353204
9,0.0,0.0073510454553848414,-0.0016379256421700794,0.00035284060936324746,1.7153570620712255,-2.143647534562442,0.2605370876854538,0.017769823430426934,0.0348729566464564,-0.0003175273690545488
10,1.0,-0.00858113585488851,-0.008582594385902614,-0.0009534106242814477,-2.244445420599597,1.6210192625938877,-1.286942822857002,0.017144415241947125,0.04994087849415885,0.004875809610299875
11,1.0,-0.14233834782143637,0.025436363294366833,0.20360363896760852,0.6955737309902814,0.7125987130488755,-0.03350442358488359,-0.1674786118926221,-0.4566260746206877,0.007564515119052095
11,0.0,-0.015784777957650986,0.01983051269327918,-0.048568674586042804,-3.186002526621882,2.2962249210967753,2.4721484377028684,0.04607209335188398,-0.04190681113305561,-0.0012674337737872965
12,1.0,0.038344816033112766,0.028278983122229207,0.00279008329708208,-3.8877061679230738,2.3096765750915855,-0.846501799513669,-0.025556958499955415,-0.015413722745997227,-0.018130967028872402
13,0.0,-0.012985488460007244,7.690036710489984e-05,0.009116531359736446,-1.011621734270546,1.8525003492594208,-1.3794507136946388,-0.015193339549944368,-0.16048431006490416,-0.02080798996408062
13,1.0,-0.017688246976249267,-0.022072897884607576,0.021783500197044642,-5.201401320355294,0.14163348404415765,1.3750070537696701,-0.0317209102935309,-0.041912197921845765,0.05089928447217307
16,1.0,0.07762114947278076,0.017357005979267273,-0.03855060747503111,6.0491013101910465,-1.0820856048654046,-0.5054320923813765,-0.08405941162380277,0.016641786194070834,0.08839057341229606
16,0.0,-0.08219060995119976,0.03004900094602518,0.0015536227736608343,2.117369601337737,0.03624105102727848,-2.216154037188877,0.02080663565338764,0.14507537727367825,0.010351185446042244
17,1.0,-0.774480301293313,-0.42141351785737646,-0.7340883894786647,-1.625046165758781,-0.4791605351712038,1.3441808543313498,-0.520605248592612,-0.4941845744861611,0.37610817221188636
17,0.0,0.05713390927181648,-0.06654944458904322,0.028770509392512522,3.4367155925248944,-0.11809386876752992,1.5221542757452435,-0.03694228084678859,-0.09534788347052058,-0.162689364856078
18,1.0,0.27686962071686555,-0.010165038090031386,-0.37010949852137764,-1.818503891370745,1.296541821923796,1.4552245156080252,0.3116624363125441,-0.01064138216551358,-0.48008094301788246
18,0.0,-0.12909375537234935,0.057071275959497444,0.034452151130552444,5.1415344062944,-0.023247083932112167,0.7327720185067534,0.1359711462885195,0.26398266846522805,0.010679654791611981
19,1.0,-0.057142767595091515,-0.03728461119370999,-0.2736709563013546,0.36368221946763374,-0.4782620726620181,-0.7449823121747425,-0.16644054450595458,-0.3205837734477053,0.061258980952904996
19,0.0,-0.02363298277805681,-0.026051436346107237,0.03739726256253495,2.4980545040703253,-0.3918073723710105,2.968164822771189,0.09062026720194355,0.10985756395945079,-0.23428237026214388
20,0.0,-0.10532655857130524,-0.04837546826176867,0.10019071588702423,-5.328769217892009,4.375450635767187,-0.009624453063001415,-0.12441215655071855,0.09210737169303229,0.3083180766018585
20,1.0,0.07419714007784775,0.0119373363600339,-0.18339343564655092,0.9365974672221542,-1.8696627393972256,0.4769258751017645,-0.28608405386225894,0.6170884285136131,-0.04234215393553364
21,0.0,-0.06241966574346752,0.05802715841093861,0.013010049219844444,0.044962607399231413,-0.4710713865311746,0.10279389500148317,0.011751999161189769,-0.106821465154859,-0.22339970465789094
21,1.0,-0.01983602481144363,-0.01143971581041281,-0.02646020485000178,1.9434117881204795,1.4133551140090328,-0.6356593372390775,-0.030128703926251665,0.03279845392449823,0.073070252500119
