,label,PCA_feature_3,PCA_feature_129
1,1.0,22.530387107943348,1.582067810090848e-15
2,1.0,34.37969619191428,2.1371793224034263e-15
2,0.0,-4.030280480650442,1.2212453270876722e-15
3,0.0,-10.457337549334719,-1.5265566588595902e-16
4,0.0,-15.016616969710784,-5.828670879282072e-16
5,0.0,12.25635266614403,-1.6930901125533637e-15
5,1.0,-5.570592956764211,1.2038980923279041e-15
7,0.0,-13.957475739768627,3.7470027081099033e-16
7,1.0,-7.108741620284428,1.0685896612017132e-15
8,1.0,-8.187356731638493,1.3079815008865125e-15
9,0.0,6.757358926328597,-3.497202527569243e-15
10,1.0,11.951006727543882,-3.774758283725532e-15
11,1.0,-7.6435775953978675,2.0469737016526324e-16
11,0.0,-0.832737928835142,-3.219646771412954e-15
12,1.0,7.025139716703988,-1.5265566588595902e-15
13,0.0,5.892691397010167,-3.3653635433950058e-15
13,1.0,3.752443227956284,-3.608224830031759e-15
16,1.0,4.0616414260344555,4.649058915617843e-16
16,0.0,-17.773352285261133,1.249000902703301e-16
17,1.0,3.949183249362618,1.6566609195578508e-15
17,0.0,-5.930732841647412,-1.1379786002407855e-15
18,1.0,-3.618688830225743,1.3322676295501878e-15
18,0.0,14.105391365313107,-1.3877787807814457e-15
19,1.0,8.509448401353094,1.1657341758564144e-15
19,0.0,-19.380880548218407,2.3869795029440866e-15
20,0.0,-10.968484579875305,1.1379786002407855e-15
20,1.0,6.730154175306302,1.582067810090848e-15
21,0.0,-20.907911013696282,-8.187894806610529e-16
21,1.0,-5.350835435246644,-1.0824674490095276e-15
22,0.0,19.938035020869883,-4.9404924595819466e-15
22,1.0,6.403486560666575,1.429412144204889e-15
23,1.0,19.07110791414616,6.800116025829084e-16
23,0.0,-2.109202742620304,1.2628786905111156e-15
24,0.0,-16.090905342686384,5.967448757360216e-16
24,1.0,11.166337991513627,1.2212453270876722e-15
25,0.0,-15.633493051881077,-3.122502256758253e-16
27,0.0,-10.430777800481074,7.632783294297951e-16
27,1.0,-8.225663490204155,-2.7755575615628914e-17
28,0.0,-7.342084794874495,-6.661338147750939e-16
28,1.0,-8.730198129624107,1.6375789613221059e-15
29,1.0,6.367630478436662,1.6237011735142914e-15
29,0.0,-19.133230205897295,-8.881784197001252e-16
30,0.0,-19.79545896044667,-1.2906342661267445e-15
31,1.0,33.87351788750141,1.2628786905111156e-15
32,1.0,4.937632087778015,1.9532986339498848e-15
33,1.0,10.795953348002081,8.465450562766819e-16
34,1.0,-5.947411353994331,7.91033905045424e-16
34,0.0,1.866382247271289,-1.6930901125533637e-15
35,0.0,-11.130356763588717,-6.661338147750939e-16
35,1.0,4.557445127961215,1.5543122344752192e-15
36,0.0,-5.480417170129288,-5.273559366969494e-16
37,1.0,13.320923467877913,1.8876908499873557e-15
37,0.0,-22.90122669435643,-1.5404344466674047e-15
38,1.0,-1.581277640019615,9.853229343548264e-16
39,1.0,4.639050662304868,1.3877787807814457e-15
39,0.0,-17.040804739518396,1.3739009929736312e-15
40,1.0,0.9617731741340474,8.604228440844963e-16
41,0.0,-5.00872430915185,1.0009354456386177e-15
41,1.0,1.9392463220876346,-1.6653345369377348e-16
42,1.0,2.8471864884504967,7.771561172376096e-16
42,0.0,-5.11128650364826,5.828670879282072e-16
43,1.0,21.386606659038797,1.2073675392798577e-15
43,0.0,-18.234070782388315,-3.400058012914542e-16
45,1.0,17.887345642933894,1.4432899320127035e-15
46,0.0,-15.027642783677342,1.457167719820518e-15
47,0.0,-14.15014407663174,-1.942890293094024e-16
49,0.0,35.33501409060131,3.469446951953614e-16
50,0.0,-7.662748716347271,1.4224732503009818e-16
50,1.0,-0.49881968229071205,-1.5265566588595902e-16
51,1.0,-1.9096411830177387,7.355227538141662e-16
51,0.0,-17.546406712183174,-1.8110513089197866e-15
52,0.0,-15.462047919925677,-1.762479051592436e-15
53,1.0,13.038253965300008,9.43689570931383e-16
53,0.0,-17.727360928874916,-5.828670879282072e-16
54,1.0,0.2667460131061128,6.591949208711867e-16
54,0.0,-2.074169770652383,-3.0531133177191805e-16
55,0.0,-11.672765639746494,1.6479873021779667e-16
55,1.0,-4.206210211517652,1.7069679003611782e-15
56,1.0,11.662694398559479,-1.7069679003611782e-15
56,0.0,1.235158285011429,8.81239525796218e-16
57,1.0,5.0713745425967725,2.7712207528729493e-15
58,0.0,2.1832717825744856,-2.220446049250313e-16
59,1.0,18.958589288396194,1.0967789176863363e-15
61,0.0,-4.573440680200146,2.723515857283587e-15
62,0.0,6.361401662823677,-1.457167719820518e-16
62,1.0,7.3170466809705585,1.27675647831893e-15
63,0.0,-15.054721902435134,-6.800116025829084e-16
65,0.0,-11.089550680057345,-8.326672684688674e-16
67,0.0,8.158247041711771,-2.3592239273284576e-16
68,0.0,13.724237138367346,1.052977149917922e-15
74,0.0,-14.082435925362292,9.783840404509192e-16
