,label,PCA_feature_3,PCA_feature_162
1,0.0,-2.758241586647062,1.0755285551056204e-16
1,1.0,4.450455152928563,-1.9081958235744878e-17
1,1.0,4.450455152928563,-1.9081958235744878e-17
1,1.0,4.450455152928563,-1.9081958235744878e-17
2,1.0,6.736429557835909,3.157196726277789e-16
2,0.0,-0.526318377756612,4.198030811863873e-16
2,1.0,6.736429557835909,3.157196726277789e-16
2,1.0,6.736429557835909,3.157196726277789e-16
3,1.0,-0.8322535979329475,1.0009354456386177e-15
5,1.0,-0.15412484136589127,2.975050761300224e-16
5,0.0,1.4615717032689457,2.6020852139652106e-16
5,1.0,-0.15412484136589127,2.975050761300224e-16
5,1.0,-0.15412484136589127,2.975050761300224e-16
6,1.0,-0.24022443868703702,2.6194324487249787e-16
7,0.0,-1.7637474442882104,2.463307335887066e-16
7,1.0,-0.7097463204521569,2.1510571102112408e-16
7,1.0,-0.7097463204521569,2.42861286636753e-16
8,1.0,-1.2165130365745231,2.896988204881268e-16
8,0.0,-2.125835847431967,4.3368086899420177e-16
8,1.0,-1.2165130365745231,2.896988204881268e-16
9,0.0,-1.6316498253189669,-2.498001805406602e-16
10,1.0,1.9909145503468872,1.700029006457271e-16
11,1.0,-0.9861853047151922,2.5500435096859064e-16
11,0.0,-0.4337000168558884,-8.326672684688674e-17
11,1.0,-0.9861853047151922,2.5500435096859064e-16
12,1.0,0.8363915760942415,-2.7755575615628914e-17
12,1.0,0.8363915760942415,-2.7755575615628914e-17
12,0.0,-1.6876126528640252,-1.4051260155412137e-16
12,1.0,0.8363915760942415,-2.7755575615628914e-17
12,1.0,0.8363915760942415,-2.7755575615628914e-17
13,1.0,1.109104749703364,5.204170427930421e-16
13,0.0,0.20311133387521232,-6.487865800153259e-16
14,1.0,2.1354194637571142,-1.8041124150158794e-16
14,0.0,1.1954365890073364,-5.863365348801608e-16
15,1.0,2.988859668830028,-2.914335439641036e-16
15,1.0,2.9888596688300275,-2.7582103268031233e-16
15,0.0,-3.9623273601215776,-5.462210544981971e-16
17,0.0,0.3296911440054615,3.7383290907300193e-16
17,1.0,1.4220990404645693,6.938893903907228e-18
17,1.0,1.4220990404645693,6.938893903907228e-18
18,0.0,2.3498442732728577,-3.469446951953614e-16
19,0.0,-4.141118292334217,-5.143455106271233e-16
19,1.0,1.810992665267792,-4.163336342344337e-17
19,1.0,1.8109926652677923,2.0816681711721685e-17
21,0.0,-3.976443803452289,9.71445146547012e-17
22,1.0,1.1176427403898566,-1.2836953722228372e-16
22,0.0,0.561733193467024,-6.92154666914746e-16
22,1.0,1.1176427403898566,-1.2836953722228372e-16
23,0.0,-0.26489577480088244,-7.28583859910259e-17
24,0.0,-4.261625887568386,-3.3480163086352377e-16
25,1.0,3.2859232520487516,-3.7296554733501353e-16
25,1.0,3.2859232520487516,-4.579669976578771e-16
26,0.0,-3.3730799866045302,-5.447031714567174e-16
27,1.0,0.06985673468634784,7.164407955784213e-16
27,1.0,0.06985673468634784,7.164407955784213e-16
28,0.0,-2.294917467513718,5.074066167232161e-17
28,1.0,-0.5344520564374365,3.157196726277789e-16
28,1.0,-0.5344520564374365,3.157196726277789e-16
29,0.0,-3.170884761415053,-4.423544863740858e-16
30,0.0,-4.845540138143935,-5.967448757360216e-16
31,1.0,4.8811716283407405,-4.85722573273506e-17
31,1.0,4.8811716283407405,-4.85722573273506e-17
31,1.0,4.8811716283407405,-1.249000902703301e-16
31,0.0,-2.3013498796807594,1.0755285551056204e-16
31,1.0,4.8811716283407405,-1.249000902703301e-16
32,1.0,0.5920672688582356,-1.3183898417423734e-16
32,1.0,0.5920672688582356,-1.3183898417423734e-16
32,0.0,2.0522043489551107,1.0928757898653885e-16
